id,season,city,citystadium,date,Home,team1,team2,toss_winner,Toss,winner_text,winner,Bat1,Bat2,Bat3,Bat4,Bat5,Bat6,Bat7,Bat8,Bat9,Bat10,Bat11,Bowl1,Bowl2,Bowl3,Bowl4,Bowl5,Bowl6,Bowl7,Bowl8,Bowl9,Bowl10,Bowl11
25,2017,Pune,Pune,4/22/2017,1,Sunrisers Hyderabad,Rising Pune Supergiant,Rising Pune Supergiant,1,Rising Pune Supergiant,1,-3.102284624,1.478709793,3.370336503,5.178938775,5.381857204,-4.584499963,-9.287945591,-2.414754501,-1.208957949,2.1,1.908284024,0,-15.46083333,1.875,-9.7625,6.763416667,13.158,0.649583333,-21.87633333,-0.606083333,5.405833333,4.557
26,2017,Rajkot,Gujarat,4/23/2017,0,Kings XI Punjab,Gujarat Lions,Gujarat Lions,0,Kings XI Punjab,0,0.923481591,-3.377474889,8.208961428,0.597833366,2.541989852,4.480607951,-6.937547222,0.39000066,-0.863448276,4.756410256,-10.26373626,-3.25,6.5,-8.52325,-10.57916667,-9.362916667,0.338916667,8.93,-3.641916667,5.640416667,18.18916667,-15.51
27,2017,Kolkata,Kolkata,4/23/2017,1,Kolkata Knight Riders,Royal Challengers Bangalore,Royal Challengers Bangalore,0,Kolkata Knight Riders,1,-12.31800372,-2.524078824,4.835702351,-4.313835119,3.656754964,0.597577507,-1.354079127,3.324895675,1.488228656,-0.420796144,3.398601399,7.9035,6.75,3.25,-1.8,13.8175,-13.81816667,-5.28875,4.015,6.701333333,-1.399583333,2.470416667
28,2017,Mumbai,Mumbai,4/24/2017,0,Rising Pune Supergiant,Mumbai Indians,Mumbai Indians,0,Rising Pune Supergiant,0,-5.022981997,-1.042984886,-3.62880698,-2.24402014,-5.220452888,0.003636796,1.655403707,7.233630166,2.630938462,2.878524191,3.121893491,0,0.916666667,-3.25,13.0305,1.614916667,14.931,-10.26916667,1.935666667,4.10775,-0.895,-4.701666667
29,2017,Pune,Pune,4/26/2017,0,Rising Pune Supergiant,Kolkata Knight Riders,Kolkata Knight Riders,1,Kolkata Knight Riders,0,8.813799416,-3.595353772,1.652205485,16.18857052,-1.077767288,-8.396215736,-5.644565217,-3.135263568,-4.042223448,-1.713986014,-3.557142857,-15.98775,-7.416666667,-3.25,6.5,10.65175,2.5905,2.475,-18.66791667,-1.63875,3.1875,2.402083333
30,2017,Bangalore,Bangalore,4/27/2017,0,Royal Challengers Bangalore,Gujarat Lions,Gujarat Lions,1,Gujarat Lions,0,10.38480612,3.898658083,1.762279892,-0.409445068,-1.112546343,-2.790648154,-1.33521767,-8.603076923,5.702114826,9.110769231,0.476369231,14.58425,-6.75,-3.843,10.40333333,-15.65125,-3.25,1.428333333,-10.66541667,9.063666667,-1.737083333,28.85375
31,2017,Kolkata,Kolkata,4/28/2017,1,Delhi Daredevils,Kolkata Knight Riders,Kolkata Knight Riders,1,Kolkata Knight Riders,1,-4.363014885,3.694722746,1.85200865,3.06917102,-7.79866573,2.134917264,5.690719064,-0.680190978,-3.932873932,0.70540445,0.182893317,19.23775,3.25,3.25,6.5,-20.3625,8.231666667,13.80041667,3.699666667,7.077166667,-2.0565,-1.551166667
32,2017,Chandigarh,Punjab,4/28/2017,0,Sunrisers Hyderabad,Kings XI Punjab,Kings XI Punjab,0,Sunrisers Hyderabad,0,-10.05888655,-4.371372102,4.545977814,-1.053750193,-2.764487174,5.310682526,-1.166952248,-0.502455753,1.025096138,3.027116915,-0.373070769,-6.5,-3.90625,1.875,-7.9015,-13.0125,-3.888333333,12.30083333,-9.131916667,-2.155583333,-1.784083333,-8.559833333
33,2017,Pune,Pune,4/29/2017,1,Rising Pune Supergiant,Royal Challengers Bangalore,Royal Challengers Bangalore,0,Rising Pune Supergiant,1,4.139156551,-6.119432596,-2.097654449,7.059301732,5.05107875,-3.439027095,-6.998644344,-6.167875113,0.161437235,-3.977939001,0.012092308,-4.674166667,-0.666666667,-5.05,3.25,17.15175,1.7565,-2.81375,-17.96625,3.549166667,1.0025,0.7475
34,2017,Rajkot,Gujarat,4/29/2017,0,Gujarat Lions,Mumbai Indians,Gujarat Lions,0,Mumbai Indians,0,3.06242915,0,0,0,0,2.046148552,-4.200492567,-5.74296355,-8.785755968,4.380586081,-1.611538462,0,0,0,0,0,0.2385,-2.230833333,-1.4085,-2.829583333,8.1645,13.33291667
35,2017,Chandigarh,Punjab,4/30/2017,1,Delhi Daredevils,Kings XI Punjab,Kings XI Punjab,1,Kings XI Punjab,1,-2.505817392,7.608694612,-0.209712114,4.679855446,0.946094042,0.281348642,-6.532501065,-3.125987255,-0.159419526,7.23028083,-0.965192674,-3.25,0,0,0,11.35,-2.335833333,-1.561666667,4.678833333,-4.873583333,13.70833333,-11.99
36,2017,Hyderabad,Hyderabad,4/30/2017,1,Sunrisers Hyderabad,Kolkata Knight Riders,Kolkata Knight Riders,0,Sunrisers Hyderabad,1,11.91608404,0.466937243,-1.718131018,-1.069326784,-1.776392007,2.433116913,3.643380374,-0.720509067,-0.336843761,-5.465426881,-0.173076923,-15.98775,0.65625,-5.125,12.7515,-0.805,6.5,1.825416667,3.208416667,-2.421416667,-2.154916667,1.994666667
37,2017,Mumbai,Mumbai,5/1/2017,1,Royal Challengers Bangalore,Mumbai Indians,Royal Challengers Bangalore,0,Mumbai Indians,1,-6.709841429,1.000636988,0.52206237,-2.450681834,3.370347328,-0.007402032,-1.077005885,7.569336032,-2.300846694,-4.190824922,3.133985799,6.75,-3.25,-11.17416667,11.2305,15.64225,-3.875583333,-0.3225,-2.6925,-0.6375,-35.15125,-3.954166667
